id;symbol_code;name_sv;name_en;active;images
1;M002;Läs bruksanvisningen;Läs bruksanvisningen;1;M002.svg
2;M003;Använd hörselskydd;Använd hörselskydd;1;M003.svg
3;M004;Använd skyddsglasögon;Använd skyddsglasögon;1;M004.svg
4;M005;Jorda anslutningen;Jorda anslutningen;1;M005.svg
5;M006;Bryt strömmen före arbete;Bryt strömmen före arbete;1;M006.svg
6;M007;Använd mörka skyddsglasögon;Använd mörka skyddsglasögon;1;M007.svg
7;M008;Använd skyddsskor;Använd skyddsskor;1;M008.svg
8;M009;Använd skyddshandskar;Använd skyddshandskar;1;M009.svg
9;M010;Använd skyddskläder;Använd skyddskläder;1;M010.svg
10;M011;Tvätta händerna;Tvätta händerna;1;M011.svg
11;M012;Använd ledstång;Använd ledstång;1;M012.svg
12;M013;Använd ansiktsskydd;Använd ansiktsskydd;1;M013.svg
13;M014;Använd skyddshjälm;Använd skyddshjälm;1;M014.svg
14;M015;Använd varselklädset;Använd varselklädset;1;M015.svg
15;M016;Använd mask;Använd mask;1;M016.svg
16;M017;Använd andningsskydd;Använd andningsskydd;1;M017.svg
17;M018;Använd säkerhetssele;Använd säkerhetssele;1;M018.svg
18;M019;Använd svetsmask;Använd svetsmask;1;M019.svg
19;M020;Använd säkerhetsbälte;Använd säkerhetsbälte;1;M020.svg
20;M021;Bryt kontakten före arbete;Bryt kontakten före arbete;1;M021.svg
21;M022;Använd skyddskräm;Använd skyddskräm;1;M022.svg
22;M023;Använd gångbro;Använd gångbro;1;M023.svg
23;M024;Använd denna gångväg;Använd denna gångväg;1;M024.svg
24;M025;Använd mörka skyddsglasögon för barn;Använd mörka skyddsglasögon för barn;1;M025.svg
25;M026;Använd skyddsförkläde;Använd skyddsförkläde;1;M026.svg
26;M027;Kontrollera skydd;Kontrollera skydd;1;M027.svg
27;M028;Använd lås;Använd lås;1;M028.svg
28;M029;Använd horn;Använd horn;1;M029.svg
29;M030;Använd papperskorg;Använd papperskorg;1;M030.svg
30;M031;Använd justerbara skyddet;Använd justerbara skyddet;1;M031.svg
31;M032;Använd statiskt isolerade skor;Använd statiskt isolerade skor;1;M032.svg
32;W002;Explosivt ämne;Explosivt ämne;1;W002.svg
